2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:6] HTTP 200 https://www.amazon.com/Bluetooth-Headphones-Cancelling-Earphones-Waterproof/dp/B0H9LRGB3B/ref=sr_1_6?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-6
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:6] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_006.html
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:8] HTTP 200 https://www.amazon.com/TOZO-Cancelling-Waterproof-Bluetooth-Headphones/dp/B0DD41G2NZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-8
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:8] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_008.html
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:9] HTTP 200 https://www.amazon.com/HAOYUYAN-Bluetooth-Headphones-Canceling-Waterproof/dp/B0H5W39V6T/ref=sr_1_9?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-9
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:9] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_009.html
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:10] HTTP 200 https://www.amazon.com/A1/dp/B09FT58QQP/ref=sr_1_10?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-10
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:10] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_010.html
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:12] HTTP 200 https://www.amazon.com/Bluetooth-Headphones-Cancelling-Earphones-Waterproof/dp/B0H9LHWBDK/ref=sr_1_12?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-12
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:12] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_012.html
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:13] HTTP 200 https://www.amazon.com/Soundcore-Cancelling-Powerful-Playtime-Bluetooth/dp/B0CRTYZG5C/ref=sr_1_13?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-13
